,City,Latitude,Longitude,Max Temp,Min Temp,Temp,Humidity,Cloudiness,Wind Speed,Country
0,Mar del Plata,-38.0023,-57.5575,27.13,21.6,22.49,86,76,7.15,AR
1,Thompson,55.7435,-97.8558,-14.35,-14.35,-14.35,95,73,2.5,CA
2,Qaanaaq,77.484,-69.3632,-26.19,-26.19,-26.19,93,100,2.23,GL
3,Ancud,-41.8697,-73.8203,15.63,15.63,15.63,82,100,2.09,CL
4,Katherine,-14.4667,132.2667,28.18,28.18,28.18,65,40,4.63,AU
5,Rikitea,-23.1203,-134.9692,25.53,25.53,25.53,73,15,6.36,PF
6,Quebradillas,18.4738,-66.9385,26.09,22.62,24.69,89,22,1.79,PR
7,Tasiilaq,65.6145,-37.6368,-6.91,-6.91,-6.91,66,92,3.76,GL
8,Jamestown,42.097,-79.2353,1.77,-0.59,0.21,61,97,2.68,US
9,Dikson,73.5069,80.5464,-23.13,-23.13,-23.13,97,100,6.16,RU
10,Lidköping,58.5052,13.1577,3.01,3.01,3.01,96,100,4.8,SE
11,Kapaa,22.0752,-159.319,19.99,18.95,18.95,97,4,2.49,US
12,Chokurdakh,70.6333,147.9167,-44.03,-44.03,-44.03,100,98,1.62,RU
13,Vaini,-21.2,-175.2,26.86,26.86,26.86,81,95,7.52,TO
14,Vila Velha,-20.3297,-40.2925,21.86,21.86,21.86,94,100,4.0,BR
15,Cape Town,-33.9258,18.4232,30.06,23.28,24.36,59,2,6.26,ZA
16,Saskylakh,71.9167,114.0833,-41.59,-41.59,-41.59,99,99,1.84,RU
17,Sinnamary,5.3833,-52.95,24.89,24.89,24.89,90,100,5.15,GF
18,Punta Arenas,-53.15,-70.9167,15.06,15.06,15.06,38,67,4.63,CL
19,Katsuura,35.1333,140.3,8.13,8.13,8.13,68,38,1.94,JP
20,Salalah,17.0151,54.0924,24.07,24.07,24.07,63,15,3.08,OM
21,Bethel,41.3712,-73.414,1.63,-1.63,-0.2,89,100,0.0,US
22,Kalmunai,7.4167,81.8167,24.8,24.8,24.8,87,98,4.18,LK
23,Atuona,-9.8,-139.0333,24.89,24.89,24.89,79,30,5.43,PF
24,St. George's,12.0564,-61.7485,24.73,24.73,24.73,87,100,6.62,GD
25,Treinta y Tres,-33.2333,-54.3833,27.5,27.5,27.5,37,0,5.5,UY
26,Tiksi,71.6872,128.8694,-36.01,-36.01,-36.01,100,92,1.78,RU
27,Ilulissat,69.2167,-51.1,-8.99,-8.99,-8.99,73,75,4.63,GL
28,Tilichiki,60.4667,166.1,-28.83,-28.83,-28.83,90,91,4.21,RU
29,Besançon,47.2488,6.0182,13.77,12.3,13.75,64,58,4.77,FR
30,Butaritari,3.0707,172.7902,26.92,26.92,26.92,77,85,6.61,KI
31,Cape Canaveral,28.4058,-80.6048,14.99,8.04,11.75,77,0,3.6,US
32,San-Pédro,4.7485,-6.6363,30.16,30.16,30.16,60,18,4.3,CI
33,Narsaq,60.9167,-46.05,-8.88,-8.88,-8.88,68,100,2.67,GL
34,Mahébourg,-20.4081,57.7,28.47,28.16,28.16,65,75,5.66,MU
35,San Jacinto,33.7839,-116.9586,10.52,5.12,8.47,48,33,1.34,US
36,Aksarka,66.5606,67.7975,-40.2,-40.2,-40.2,100,73,2.61,RU
37,Mataura,-46.1927,168.8643,8.63,8.63,8.63,84,1,2.2,NZ
38,Kirakira,-10.4544,161.9205,27.57,27.57,27.57,81,98,3.91,SB
39,Puerto Ayora,-0.7393,-90.3518,22.53,22.53,22.53,96,11,0.89,EC
40,The Valley,18.217,-63.0578,26.72,25.46,26.45,79,27,9.05,AI
41,Eenhana,-17.4667,16.3333,35.03,35.03,35.03,14,100,2.53,NA
42,Jiazi,22.8779,116.067,17.49,17.49,17.49,58,100,8.21,CN
43,Nikolskoye,59.7035,30.7861,-9.06,-9.06,-9.06,95,42,1.39,RU
44,Lorengau,-2.0226,147.2712,27.51,27.51,27.51,78,100,1.86,PG
45,Lompoc,34.6391,-120.4579,9.77,7.23,7.8,91,100,4.12,US
46,Tabou,4.423,-7.3528,29.84,29.84,29.84,61,18,3.37,CI
47,Klyuchi,52.2667,79.1667,-6.84,-6.84,-6.84,89,81,5.57,RU
48,Nouadhibou,20.931,-17.0347,21.32,21.32,21.32,48,0,5.06,MR
49,Albany,42.6001,-73.9662,3.0,-0.81,1.43,87,100,1.34,US
50,Ushuaia,-54.8,-68.3,13.41,13.41,13.41,51,71,1.61,AR
51,Biswān,27.5,81.0,12.87,12.87,12.87,36,0,3.25,IN
52,Arlit,18.7369,7.3853,28.94,28.94,28.94,12,10,1.7,NE
53,Santa Rosa,14.3122,121.1114,25.99,25.01,25.25,78,33,6.41,PH
54,Lebu,-37.6167,-73.65,16.74,16.74,16.74,76,45,0.77,CL
55,Saint Paul Harbor,57.79,-152.4072,-1.27,-1.27,-1.27,69,0,5.66,US
56,Najrān,17.4924,44.1277,25.21,25.21,25.21,24,2,3.86,SA
57,Ryōtsu-minato,38.0833,138.4333,5.4,5.4,5.4,74,100,3.84,JP
58,Busselton,-33.65,115.3333,16.09,16.09,16.09,74,0,6.26,AU
59,Port Alfred,-33.5906,26.891,24.54,24.54,24.54,61,10,1.34,ZA
60,Tuktoyaktuk,69.4541,-133.0374,-28.93,-28.93,-28.93,99,84,3.45,CA
61,Barrow,71.2906,-156.7887,-22.99,-22.99,-22.99,84,100,7.72,US
62,Pokhara,28.2333,83.9833,13.42,13.42,13.42,24,0,2.85,NP
63,Carnarvon,-24.8667,113.6333,23.79,23.79,23.79,70,0,11.71,AU
64,Kahului,20.8947,-156.47,21.01,21.01,21.01,83,0,5.66,US
65,San Patricio,28.017,-97.5169,21.2,17.91,19.05,96,48,3.53,US
66,Jizan,17.3333,42.6667,29.22,29.22,29.22,50,45,4.99,SA
67,Houma,29.5958,-90.7195,13.33,10.56,12.11,91,0,1.54,US
68,Faya,18.3851,42.4509,14.29,14.29,14.29,67,37,4.21,SA
69,Yankton,42.8711,-97.3973,-19.86,-19.86,-19.86,84,100,1.54,US
70,Nālūt,30.3333,10.85,16.04,16.04,16.04,33,6,4.41,LY
71,Teya,60.3778,92.6267,-27.56,-27.56,-27.56,100,80,1.96,RU
72,Sørland,67.667,12.6934,-1.08,-1.08,-1.08,63,100,8.12,NO
73,Passy,45.9203,6.6877,9.9,8.04,8.05,75,33,1.86,FR
74,Souillac,-20.5167,57.5167,28.21,28.21,28.21,65,75,5.66,MU
75,Hermanus,-34.4187,19.2345,28.22,28.22,28.22,51,5,8.79,ZA
76,Norman Wells,65.282,-126.8329,-25.54,-25.54,-25.54,99,92,0.34,CA
77,Hobart,-42.8794,147.3294,15.92,15.15,15.65,83,20,3.6,AU
78,Lavrentiya,65.5833,-171.0,-18.46,-18.46,-18.46,96,96,1.87,RU
79,Avera,33.194,-82.5271,2.43,-0.97,0.39,73,31,2.61,US
80,New Norfolk,-42.7826,147.0587,15.72,14.95,15.04,67,0,0.62,AU
81,Zambezi,-13.5432,23.1047,26.66,26.66,26.66,61,98,2.58,ZM
82,Pisco,-13.7,-76.2167,20.03,19.45,20.03,88,100,3.09,PE
83,Yellowknife,62.456,-114.3525,-21.19,-21.19,-21.19,100,100,1.54,CA
84,Flinders,-34.5833,150.8552,16.81,15.59,16.03,83,81,3.29,AU
85,Castro,-24.7911,-50.0119,18.34,18.34,18.34,66,2,5.06,BR
86,Lubango,-14.9172,13.4925,21.77,21.77,21.77,64,99,1.87,AO
87,Teruel,40.6667,-0.6667,8.76,8.76,8.76,36,32,6.56,ES
88,Ilebo,-4.3167,20.5833,26.95,26.95,26.95,86,99,0.87,CD
89,Port Elizabeth,-33.918,25.5701,24.06,23.94,24.06,58,5,1.79,ZA
90,Sambava,-14.2667,50.1667,28.22,28.22,28.22,67,14,4.38,MG
91,Hong Kong,22.2855,114.1577,20.21,19.42,19.78,61,100,5.81,HK
92,Porto-Novo,6.4965,2.6036,33.97,33.97,33.97,40,5,3.84,BJ
93,Lüderitz,-26.6481,15.1594,23.41,23.41,23.41,53,0,3.62,NA
94,Cabedelo,-6.9811,-34.8339,30.37,30.37,30.37,63,10,4.25,BR
95,Honiara,-9.4333,159.95,25.55,25.55,25.55,89,98,0.82,SB
96,Umluj,25.0213,37.2685,23.72,23.72,23.72,35,5,4.38,SA
97,Arraial do Cabo,-22.9661,-42.0278,20.92,20.92,20.92,94,100,6.69,BR
98,Clonmel,52.355,-7.7039,9.98,7.93,8.8,78,6,9.59,IE
99,Portland,45.5234,-122.6762,8.12,5.31,6.57,89,100,3.58,US
100,Baykit,61.67,96.37,-19.04,-19.04,-19.04,96,99,2.33,RU
101,Aden,12.7794,45.0367,26.14,26.14,26.14,66,6,4.11,YE
102,Cherskiy,68.75,161.3,-33.94,-33.94,-33.94,96,100,1.38,RU
103,Bathsheba,13.2167,-59.5167,28.34,28.34,28.34,74,40,9.26,BB
104,Kavieng,-2.5744,150.7967,27.55,27.55,27.55,75,13,1.02,PG
105,Andra,62.5147,65.8878,-25.68,-25.68,-25.68,92,99,5.12,RU
106,Makakilo City,21.3469,-158.0858,22.05,17.18,18.59,89,0,3.09,US
107,Abu Dhabi,24.4667,54.3667,19.98,19.98,19.98,84,81,8.71,AE
108,Provideniya,64.3833,-173.3,-17.91,-17.91,-17.91,96,33,3.37,RU
109,Iskateley,67.6803,53.1512,-34.23,-34.23,-34.23,97,10,3.14,RU
110,Husavik,66.0449,-17.3389,-2.84,-2.84,-2.84,90,100,1.89,IS
111,Agirish,61.9247,63.0231,-25.3,-25.3,-25.3,95,100,5.0,RU
112,Eyl,7.9803,49.8164,27.48,27.48,27.48,60,1,9.97,SO
113,Upernavik,72.7868,-56.1549,-25.98,-25.98,-25.98,85,38,4.35,GL
114,Esperance,-33.8667,121.9,17.04,17.04,17.04,63,100,3.78,AU
115,Antofagasta,-23.65,-70.4,22.89,22.89,22.89,57,0,3.04,CL
116,Kaitangata,-46.2817,169.8464,9.9,9.9,9.9,83,4,3.8,NZ
117,Avarua,-21.2078,-159.775,21.03,21.03,21.03,94,100,1.03,CK
118,El Copé,8.6167,-80.6,20.18,20.18,20.18,86,33,2.09,PA
119,Manggar,-2.8833,108.2667,26.56,26.56,26.56,83,99,1.68,ID
120,La Ronge,55.1001,-105.2842,-13.42,-13.42,-13.42,96,26,1.82,CA
121,Bengkulu,-3.8004,102.2655,24.62,24.62,24.62,89,81,3.03,ID
122,Olafsvik,64.8945,-23.7142,2.56,2.56,2.56,79,100,13.47,IS
123,Geraldton,-28.7667,114.6,20.23,20.23,20.23,73,0,9.77,AU
124,Hithadhoo,-0.6,73.0833,27.5,27.5,27.5,76,70,4.46,MV
125,Benjamín Aceval,-24.9667,-57.5667,29.08,29.08,29.08,44,0,3.22,PY
126,Morant Bay,17.8815,-76.4093,25.79,25.39,25.79,77,5,3.27,JM
127,Constitución,-35.3333,-72.4167,18.78,18.78,18.78,69,0,1.23,CL
128,Nísia Floresta,-6.0911,-35.2086,30.45,30.45,30.45,48,54,5.31,BR
129,Egvekinot,66.3167,-179.1667,-23.32,-23.32,-23.32,90,86,3.35,RU
130,Namatanai,-3.6667,152.4333,26.51,26.51,26.51,81,86,1.4,PG
131,Curitibanos,-27.2828,-50.5844,19.08,19.08,19.08,54,0,3.24,BR
132,Eureka,40.8021,-124.1637,9.34,8.19,8.87,91,100,4.47,US
133,Faanui,-16.4833,-151.75,26.41,26.41,26.41,73,3,1.29,PF
134,Viedma,-40.8135,-62.9967,33.92,33.92,33.92,18,50,10.81,AR
135,Wuda,39.4994,106.7117,0.89,0.89,0.89,25,11,2.96,CN
136,Guerrero Negro,27.9769,-114.0611,13.4,13.4,13.4,58,0,2.26,MX
137,Kamaishi,39.2667,141.8833,1.8,1.8,1.8,94,100,1.6,JP
138,Coyhaique,-45.5752,-72.0662,18.34,15.97,15.97,72,100,2.57,CL
139,Mogadishu,2.0371,45.3438,27.43,27.43,27.43,75,98,10.06,SO
140,Burnie,-41.0667,145.9167,14.78,14.78,14.78,88,42,3.6,AU
141,Salé,34.0389,-6.8166,18.69,17.08,18.11,68,40,2.06,MA
142,Amarillo,35.222,-101.8313,-0.42,-3.28,-1.49,71,0,5.66,US
143,Bilibino,68.0546,166.4372,-23.31,-23.31,-23.31,99,100,0.16,RU
144,Maniitsoq,65.4167,-52.9,-6.76,-6.76,-6.76,76,100,3.41,GL
145,Codrington,-38.2667,141.9667,21.44,21.44,21.44,44,0,6.23,AU
146,Zhezkazgan,47.8043,67.7144,-3.01,-3.01,-3.01,86,100,3.0,KZ
147,Margate,51.3813,1.3862,10.49,9.83,10.21,83,100,5.36,GB
148,Torbay,47.6666,-52.7314,-0.79,-2.13,-1.5,86,100,3.13,CA
149,Kiryat Gat,31.61,34.7642,18.38,16.71,17.08,100,89,2.59,IL
150,Touros,-5.1989,-35.4608,29.56,29.56,29.56,60,100,6.27,BR
151,Haines Junction,60.7522,-137.5108,-13.33,-13.33,-13.33,98,100,0.59,CA
152,Majene,-3.5403,118.9707,26.06,26.06,26.06,86,100,2.66,ID
153,Rach Gia,10.0167,105.0833,22.68,22.68,22.68,74,100,6.63,VN
154,Liberal,37.0431,-100.921,-2.42,-4.92,-4.92,86,0,5.66,US
155,Havelock,34.8791,-76.9013,6.63,2.98,4.44,86,0,3.09,US
156,Manta,-0.95,-80.7333,23.88,23.88,23.88,83,100,1.54,EC
157,Bac Lieu,9.285,105.7244,22.72,22.72,22.72,83,100,4.42,VN
158,College,64.8569,-147.8028,-15.23,-17.01,-16.08,85,100,0.0,US
159,Okakarara,-20.5833,17.4333,33.29,33.29,33.29,13,43,2.78,NA
160,Volchansk,59.9378,60.081,-24.47,-24.47,-24.47,94,100,5.56,RU
161,Rapid Valley,44.0625,-103.1463,-0.76,-10.23,-7.0,77,75,3.6,US
162,Changji,44.0167,87.3167,-6.56,-6.56,-6.56,86,90,1.0,CN
163,Monmouth,40.3001,-74.1663,4.43,2.12,3.11,78,100,3.6,US
164,Hasaki,35.7333,140.8333,3.45,2.22,2.22,69,99,2.48,JP
165,Yulara,-25.2406,130.9889,16.96,16.96,16.96,89,100,9.12,AU
166,Motygino,58.1831,94.7592,-27.53,-27.53,-27.53,100,100,0.91,RU
167,Ayagoz,47.9714,80.4392,-2.82,-2.82,-2.82,97,100,4.68,KZ
168,Mehamn,71.0357,27.8492,-7.03,-7.03,-7.03,68,6,10.29,NO
169,Hwange,-18.3693,26.5019,26.78,26.78,26.78,67,75,2.68,ZW
170,Khatanga,71.9667,102.5,-36.11,-36.11,-36.11,98,100,1.97,RU
171,Orcopampa,-15.2661,-72.3417,9.12,9.12,9.12,77,99,2.87,PE
172,Karratha,-20.7377,116.8463,26.79,26.79,26.79,73,31,11.32,AU
173,Newport,51.5877,-2.9984,12.68,9.98,11.15,85,81,9.48,GB
174,Muli,2.9167,73.5667,26.69,26.69,26.69,81,26,6.91,MV
175,Bredasdorp,-34.5322,20.0403,23.99,23.99,23.99,54,59,7.23,ZA
176,Palauig,15.435,119.9045,25.59,25.59,25.59,75,11,2.34,PH
177,Ribeira Grande,38.5167,-28.7,17.65,17.22,17.22,94,75,8.23,PT
178,Madang,-5.2246,145.7966,25.01,25.01,25.01,91,100,3.35,PG
179,Meulaboh,4.1363,96.1285,24.7,24.7,24.7,84,67,0.92,ID
180,Caravelas,-17.7125,-39.2481,29.16,29.16,29.16,63,100,2.32,BR
181,Shakawe,-18.3667,21.85,34.34,34.34,34.34,15,90,3.59,BW
182,Burns Lake,54.2331,-125.7533,-5.42,-5.42,-5.42,99,100,1.2,CA
183,Beloha,-25.1667,45.05,28.85,28.85,28.85,63,73,4.31,MG
184,Sardārshahr,28.4333,74.4833,16.61,16.61,16.61,11,100,3.39,IN
185,Port-Gentil,-0.7193,8.7815,27.98,27.98,27.98,78,75,5.66,GA
186,Lüshunkou,38.8,121.2667,-3.88,-3.88,-3.88,52,6,1.88,CN
187,Kisangani,0.5167,25.2,36.31,36.31,36.31,21,45,1.17,CD
188,Sabha,27.0377,14.4283,17.91,17.91,17.91,28,0,1.3,LY
189,Lagoa,39.05,-27.9833,16.35,16.35,16.35,90,99,11.78,PT
190,Evensk,61.95,159.2333,-27.14,-27.14,-27.14,81,13,2.8,RU
191,Sherpur,25.0188,90.0175,19.24,19.24,19.24,42,0,3.38,BD
192,Yamada,39.4667,141.95,1.44,1.44,1.44,93,100,1.29,JP
193,Poum,-20.2333,164.0167,27.73,27.73,27.73,83,100,7.17,NC
194,Muhos,64.808,25.9931,-12.84,-13.12,-13.12,91,100,3.4,FI
195,Longyearbyen,78.2186,15.6401,-3.09,-3.09,-3.09,59,75,5.66,SJ
196,Termoli,41.9888,14.9895,13.21,12.54,13.21,73,6,2.18,IT
197,Shīeli,44.1667,66.75,6.84,6.84,6.84,80,86,7.23,KZ
198,Camacha,33.0833,-16.3333,18.68,18.68,18.68,68,20,3.6,PT
199,Craig,40.5153,-107.5464,-2.21,-4.03,-4.03,86,100,0.0,US
200,Saint-Philippe,-21.3585,55.7679,28.77,28.77,28.77,80,49,5.55,RE
201,Saint Anthony,45.0205,-93.218,-17.47,-22.73,-19.54,83,0,1.54,US
202,Vila Franca do Campo,37.7167,-25.4333,16.23,16.23,16.23,92,99,6.43,PT
203,Charlottetown,46.2352,-63.1267,-1.91,-2.9,-2.08,75,90,1.79,CA
204,Vitim,59.4511,112.5578,-12.62,-12.62,-12.62,96,100,1.84,RU
205,Rizhao,35.4275,119.4553,4.85,4.85,4.85,69,0,2.65,CN
206,Penalva,-3.2942,-45.1736,27.97,27.97,27.97,69,100,1.48,BR
207,George Town,5.4112,100.3354,26.96,26.64,26.96,74,20,1.54,MY
208,Fasa,28.9383,53.6482,11.11,11.11,11.11,49,8,3.52,IR
209,Ponta do Sol,32.6667,-17.1,21.35,20.62,20.69,69,60,2.73,PT
210,Philadelphia,39.9523,-75.1638,4.94,2.78,4.08,73,75,5.66,US
211,Paamiut,61.994,-49.6678,-5.02,-5.02,-5.02,61,100,4.45,GL
212,Ukiah,39.1502,-123.2078,9.25,7.58,8.71,90,100,5.14,US
213,Clyde River,70.4692,-68.5914,-32.27,-32.27,-32.27,92,20,1.17,CA
214,Severo-Kuril'sk,50.6789,156.125,-5.05,-5.05,-5.05,81,55,5.6,RU
215,East London,-33.0153,27.9116,22.1,22.1,22.1,62,2,4.6,ZA
216,Mariestad,58.7097,13.8237,3.26,1.95,2.03,100,100,3.96,SE
217,Porto Velho,-8.7619,-63.9039,23.03,23.03,23.03,94,75,0.0,BR
218,Pingliang,35.5392,106.6861,3.59,3.59,3.59,34,0,1.54,CN
219,Sept-Îles,50.2001,-66.3821,-7.19,-7.19,-7.19,91,100,2.44,CA
220,Alad,12.6168,122.2475,26.13,26.13,26.13,78,100,8.72,PH
221,Telde,27.9924,-15.4192,21.69,19.58,19.85,64,20,5.14,ES
222,Airai,-8.9266,125.4092,16.35,16.35,16.35,84,99,1.06,TL
223,Vestmannaeyjar,63.4427,-20.2734,1.55,1.55,1.55,80,75,4.12,IS
224,Lumberton,34.6182,-79.0086,3.99,2.0,3.87,75,0,2.06,US
225,Vardø,70.3705,31.1107,-8.01,-8.01,-8.01,79,100,6.69,NO
226,Bluff,-46.6,168.3333,11.2,11.2,11.2,77,0,7.84,NZ
227,Qinhuangdao,39.9317,119.5883,-0.78,-0.78,-0.78,57,15,0.59,CN
228,Banda Aceh,5.5577,95.3222,25.85,25.85,25.85,81,100,3.07,ID
229,Saint-Leu,-21.15,55.2833,28.48,26.29,28.31,76,29,0.63,RE
230,Adré,13.4667,22.2,28.54,28.54,28.54,13,2,2.74,TD
231,Chachoengsao,13.6167,101.4167,27.55,25.61,26.5,48,93,4.54,TH
232,Butembo,0.15,29.2833,25.72,25.72,25.72,31,58,1.98,CD
233,Halifax,44.6453,-63.5724,-0.37,-2.39,-1.06,95,91,0.89,CA
234,Aasiaat,68.7098,-52.8699,-18.88,-18.88,-18.88,91,97,1.75,GL
235,Mīrābād,30.4362,61.8383,19.93,19.93,19.93,42,100,1.73,AF
236,Kindu,-2.95,25.95,31.38,31.38,31.38,44,82,1.15,CD
237,Palu,-0.8917,119.8707,25.32,25.32,25.32,95,100,0.46,ID
238,Leningradskiy,69.3833,178.4167,-23.73,-23.73,-23.73,98,100,2.25,RU
239,Artyom,40.4723,50.333,8.08,8.08,8.08,81,28,11.65,AZ
240,Córdoba,-31.4135,-64.1811,30.47,29.44,30.47,35,0,4.63,AR
241,Poya,-21.35,165.15,26.16,26.16,26.16,89,100,2.65,NC
242,Necochea,-38.5473,-58.7368,27.7,27.7,27.7,42,90,7.01,AR
243,Payo,-3.7508,103.6372,23.59,23.59,23.59,94,89,0.81,ID
244,Comodoro Rivadavia,-45.8667,-67.5,25.92,25.92,25.92,27,0,8.23,AR
245,Coari,-4.085,-63.1414,24.22,24.22,24.22,94,98,0.89,BR
246,Waddān,29.1614,16.139,18.08,18.08,18.08,31,74,0.67,LY
247,Conceição do Araguaia,-8.2578,-49.2647,22.39,22.39,22.39,91,100,1.29,BR
248,Ilhabela,-23.7781,-45.3581,21.3,21.3,21.3,85,100,0.9,BR
249,Worthington,40.0931,-83.018,-0.14,-2.73,-1.51,87,100,0.0,US
250,Sibolga,1.7427,98.7792,24.16,24.16,24.16,88,100,1.36,ID
251,Los Llanos de Aridane,28.6585,-17.9182,19.86,17.85,17.85,81,20,3.13,ES
252,São Filipe,14.8961,-24.4956,23.71,23.71,23.71,63,99,4.33,CV
253,Montluçon,46.3333,2.6,13.72,13.72,13.72,55,100,1.79,FR
254,Gizo Government Station,-8.103,156.8419,28.23,28.23,28.23,78,100,3.9,SB
255,Mathathane,-22.2687,28.7495,21.3,21.3,21.3,64,93,6.69,BW
256,Champerico,14.3,-91.9167,22.3,22.3,22.3,66,1,2.22,GT
257,Imeni Poliny Osipenko,52.4201,136.4853,-27.62,-27.62,-27.62,100,100,1.16,RU
258,Puerto Escondido,15.85,-97.0667,21.46,21.46,21.46,83,0,3.6,MX
259,Alta Floresta,-9.8756,-56.0861,21.21,21.21,21.21,99,100,0.62,BR
260,Todos Santos,23.45,-110.2167,18.67,18.67,18.67,47,0,1.32,MX
261,Talnakh,69.4865,88.3972,-42.11,-42.11,-42.11,95,73,1.34,RU
262,Prince Rupert,54.3161,-130.3201,5.0,5.0,5.0,84,100,5.4,CA
263,Sharjah city,25.3573,55.4033,18.16,17.99,18.16,88,40,4.63,AE
264,Okhotsk,59.3833,143.3,-29.03,-29.03,-29.03,84,17,5.42,RU
265,Cadillac,44.2519,-85.4012,-3.05,-3.45,-3.05,86,100,3.6,US
266,Cidreira,-30.1811,-50.2056,23.99,23.99,23.99,62,81,4.74,BR
267,Cabinda,-5.55,12.2,28.43,28.43,28.43,76,91,3.74,AO
268,Vanimo,-2.6741,141.3028,25.85,25.85,25.85,87,97,1.32,PG
269,Valdez,1.2492,-78.9831,22.77,22.77,22.77,89,92,2.94,EC
270,Kruisfontein,-34.0033,24.7314,22.71,22.71,22.71,51,3,5.99,ZA
271,Mujiayingzi,42.1167,118.7833,-3.44,-3.44,-3.44,37,100,2.56,CN
272,Balikpapan,-1.2675,116.8289,25.55,25.55,25.55,94,20,0.0,ID
273,Padang,-0.9492,100.3543,25.03,25.03,25.03,84,100,0.59,ID
274,Kishanganj,26.1167,87.9333,18.34,18.34,18.34,40,0,3.76,IN
275,Kavaratti,10.5669,72.642,27.48,27.48,27.48,63,85,3.26,IN
276,Aklavik,68.2191,-135.0107,-24.31,-24.31,-24.31,98,100,0.94,CA
